Date,Open,High,Low,Close
1-April-2014,8318.52,8327.99,8259.32,8309.18,
2-April-2014,8350.24,8377.46,8333.76,8372.64,
3-April-2014,8386.62,8392.58,8304.91,8348.03,
4-April-2014,8356.04,8357.53,8309.89,8316.76,
7-April-2014,8319.61,8355.18,8259.00,8311.83,
9-April-2014,8329.33,8444.28,8329.20,8435.71,
10-April-2014,8444.81,8486.15,8430.29,8460.38,
11-April-2014,8435.61,8460.42,8410.29,8440.95,
15-April-2014,8470.78,8484.97,8368.19,8385.59,
16-April-2014,8389.68,8412.18,8298.95,8309.41,
17-April-2014,8331.19,8435.23,8330.75,8431.71,
21-April-2014,8442.77,8498.39,8441.60,8488.17,
22-April-2014,8495.73,8521.53,8476.53,8485.31,
23-April-2014,8497.73,8536.72,8491.50,8512.09,
25-April-2014,8521.66,8536.28,8442.52,8456.05,
28-April-2014,8465.69,8470.80,8427.03,8447.91,
29-April-2014,8460.91,8476.17,8385.41,8392.19,
30-April-2014,8408.28,8467.74,8288.52,8342.15,
2-May-2014,8369.45,8400.57,8342.97,8351.53,
5-May-2014,8359.42,8400.52,8345.85,8354.28,
6-May-2014,8377.01,8406.03,8356.86,8372.72,
7-May-2014,8376.36,8384.49,8302.40,8314.02,
8-May-2014,8337.13,8356.63,8296.19,8317.85,
9-May-2014,8329.58,8542.71,8312.15,8530.80,
12-May-2014,8545.86,8697.94,8542.17,8693.55,
13-May-2014,8753.53,8888.20,8753.49,8826.61,
14-May-2014,8837.78,8879.18,8813.16,8858.52,
15-May-2014,8865.66,8916.47,8812.11,8850.32,
16-May-2014,8975.69,9330.20,8887.97,8970.17,
19-May-2014,9040.53,9151.23,9011.09,9145.53,
20-May-2014,9213.23,9241.63,9141.05,9186.39,
21-May-2014,9207.02,9221.04,9123.68,9191.92,
22-May-2014,9242.94,9317.47,9226.25,9266.21,
23-May-2014,9322.83,9410.40,9314.89,9398.36,
26-May-2014,9473.64,9578.21,9207.59,9336.72,
27-May-2014,9346.80,9355.72,9201.42,9274.11,
28-May-2014,9295.76,9318.80,9260.82,9299.81,
29-May-2014,9301.50,9303.09,9187.82,9199.11,
30-May-2014,9225.44,9255.23,9184.65,9206.01,
2-June-2014,9254.33,9385.14,9233.01,9379.45,
3-June-2014,9406.00,9460.62,9369.29,9448.69,
4-June-2014,9473.18,9491.23,9449.19,9476.77,
5-June-2014,9497.29,9581.16,9438.75,9572.65,
6-June-2014,9636.50,9722.03,9626.44,9715.82,
9-June-2014,9774.45,9850.72,9774.40,9829.01,
10-June-2014,9873.02,9873.68,9717.63,9820.68,
11-June-2014,9820.68,9891.69,9730.11,9751.15,
12-June-2014,9786.42,9801.56,9712.75,9783.37,
13-June-2014,9817.83,9825.06,9579.83,9606.41,
16-June-2014,9609.97,9624.94,9503.64,9610.51,
17-June-2014,9617.13,9751.07,9596.87,9744.31,
18-June-2014,9764.39,9805.90,9599.25,9656.27,
19-June-2014,9690.03,9729.43,9584.53,9622.39,
20-June-2014,9637.25,9656.54,9563.28,9582.66,
23-June-2014,9595.36,9630.94,9527.54,9579.93,
24-June-2014,9609.22,9719.63,9609.22,9702.21,
25-June-2014,9722.99,9726.94,9690.81,9702.95,
26-June-2014,9686.40,9713.80,9615.13,9627.54,
27-June-2014,9653.21,9691.30,9613.64,9651.90,
30-June-2014,9682.01,9803.16,9681.73,9791.34,
1-July-2014,9816.18,9858.83,9816.05,9836.17,
2-July-2014,9886.38,9964.82,9886.36,9956.00,
3-July-2014,9974.68,10004.95,9932.46,9942.65,
4-July-2014,9955.77,9994.41,9886.66,9987.99,
7-July-2014,10019.17,10042.00,9994.68,10023.56,
8-July-2014,10046.99,10055.76,9723.56,9758.79,
9-July-2014,9765.04,9795.86,9638.74,9681.35,
10-July-2014,9706.69,9888.95,9534.74,9690.62,
11-July-2014,9727.34,9764.61,9491.02,9509.77,
14-July-2014,9529.46,9540.78,9460.05,9511.16,
15-July-2014,9546.52,9639.48,9534.87,9631.45,
16-July-2014,9668.92,9770.67,9650.14,9754.40,
17-July-2014,9760.80,9818.57,9751.58,9805.57,
18-July-2014,9797.57,9837.88,9735.07,9809.49,
21-July-2014,9852.80,9895.97,9824.99,9836.34,
22-July-2014,9865.61,9923.30,9862.51,9916.87,
23-July-2014,9949.76,9978.75,9875.37,9931.69,
24-July-2014,9941.67,9968.25,9907.53,9960.00,
25-July-2014,9965.69,9975.26,9822.65,9881.26,
28-July-2014,9899.98,9901.13,9809.23,9835.37,
30-July-2014,9841.45,9893.56,9789.31,9884.83,
31-July-2014,9893.51,9907.51,9822.07,9831.51,
1-August-2014,9777.94,9841.68,9694.19,9703.32,
4-August-2014,9749.89,9813.17,9741.37,9802.28,
5-August-2014,9829.97,9882.76,9760.76,9878.17,
6-August-2014,9872.61,9893.61,9782.94,9798.36,
7-August-2014,9800.90,9834.07,9747.79,9769.45,
8-August-2014,9705.57,9705.57,9606.24,9637.90,
11-August-2014,9688.82,9724.41,9680.06,9705.61,
12-August-2014,9755.17,9821.94,9744.05,9814.14,
13-August-2014,9810.47,9846.85,9725.31,9775.12,
14-August-2014,9787.97,9863.35,9787.45,9857.33,
18-August-2014,9865.67,9990.84,9855.45,9986.23,
19-August-2014,10017.12,10053.72,10013.85,10042.31,
20-August-2014,10067.32,10070.17,10019.98,10033.91,
21-August-2014,10039.55,10107.72,10023.15,10059.79,
22-August-2014,10080.19,10110.39,10066.54,10081.59,
25-August-2014,10101.45,10145.51,10040.59,10051.77,
26-August-2014,10029.63,10068.03,9985.07,10044.31,
27-August-2014,10080.36,10110.71,10060.98,10086.44,
